#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0006687413165447
Fe     1    4734.916110486742     1.014180466200437
Mn     1    4740.415566878147     1.0204956731126833
Fe     1    4742.8552129917925    1.0164744010709985
Fe     1    4747.1273444713015    1.019568112689559
Ti     1    4759.448408090701     1.0457360519356413
Ti     1    4760.600613316287     1.0421621154155798
Mn     1    4762.837505895204     1.0266028858999554
Ti     2    4765.857005824366     1.0150082453690172
Fe     1    4780.775258460967     1.0190730385936784
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0325289776297626
Fe     1    4790.095328242028     1.0180117118792498
Cr     1    4790.673881566418     0.9741850978738131
Ti     2    4799.872619512944     1.0085087181724166
Cr     1    4802.366680566258     0.9751079614168547
Fe     1    4804.222172380227     1.0106187748334714
Fe     1    4809.491669170637     0.984429900882027
Zn     1    4811.881502677758     1.025990639198382
Ti     1    4821.756520598129     1.0195358745149559
Ni     1    4832.529977081299     1.020438155005533
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0171981565593335
Fe     1    4845.367381317484     1.009965387273982
Cr     2    4849.590501330725     1.0196931765629722
Ti     2    4850.522548526964     0.9958566362948365
Y      2    4856.217358959939     1.0066896008073454
Ti     2    4866.969511046126     1.0286893679234983
Ni     1    4867.629286068777     1.023977978060739
Ti     2    4875.370739800553     0.9970126199422404
Fe     1    4877.238835417714     0.9971955196163625
Fe     1    4883.50749861639      1.0042907921139212
Y      2    4885.046006832402     1.0158117501831878
Cr     2    4885.974153103399     1.0018025572761806
Fe     1    4892.120884126167     1.0140057955890136
Fe     1    4892.858079747847     1.016715261899361
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015392572965423
Fe     1    5664.0875559795395    0.9943154063771081
Si     1    5667.126768463639     1.0170961591677974
Sc     2    5668.721694848641     0.973517142633055
Fe     1    5669.090793523595     0.999067043474325
Sc     2    5670.628204538431     1.0151067919431973
Fe     1    5680.598770204794     1.0123946417242453
Na     1    5684.210135764635     1.0030463395824507
Na     1    5689.783325901822     1.0136204614371658
Si     1    5692.003919652215     1.0145751817023667
Fe     1    5703.126093684245     1.0026654048671022
Mg     1    5712.67244653875      1.017253201388235
Fe     1    5733.351777140469     1.009634472541124
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0070404303591611
Ni     1    5756.266106436666     1.015040948606935
Si     1    5773.7487834999965    1.0206769818503867
Fe     1    5776.682068284723     1.0194613990453385
Cr     1    5785.46991952334      1.0216606376279362
Cr     1    5789.524004264603     1.0157999983090031
Si     1    5794.678983613339     1.0235148532756466
Fe     1    5808.334937855258     1.0191807110686382
Fe     1    5810.828105047002     1.0199783980406907
Fe     1    5853.842217745841     1.0272680929519469
Ca     1    5859.074618420989     1.0176194199919608
Fe     1    5861.214191182892     1.017003636763879
Fe     1    5863.984932920292     1.0196039020502938
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0111458022978348
Fe     1    6496.775051753972     1.0086125591580246
Fe     1    6500.734015360068     1.0066561710181818
Fe     2    6517.876921161999     1.0155124729523626
Fe     1    6520.16663637006      1.0073197070467679
Fe     1    6548.046527753324     1.0169739954329793
Ni     1    6588.128999672801     1.0201263423508742
Fe     1    6594.73337474588      1.0150249270176288
Fe     1    6595.690732061377     1.0196950939730012
Fe     1    6599.381424044337     1.021041563864991
Sc     2    6606.425117291336     1.020500491706366
Fe     1    6610.935029524423     1.0117894226179416
Fe     1    6629.374086067407     1.0214519344479696
Ni     1    6645.484617017192     1.0183329629107851
Fe     1    6679.82895072668      1.018642581151009
Al     1    6697.87170219246      1.0170970820727654
Al     1    6700.522414966865     1.0018679549527483
Fe     1    6705.416731065437     1.0171953135786707
Cr     1    6723.703748749681     1.0173517209234437
Fe     1    6727.2123923259205    1.0
Fe     1    6735.0089891072275    1.0
Si     1    7682.383915272238     1.0036539872950516
Mg     1    7693.666959557328     1.0046090695658896
K      1    7701.083260605108     1.0050381341149064
Fe     1    7712.487037622347     1.0057543273156433
Fe     2    7713.842803447365     1.00598903815457
Ni     1    7717.714448136995     1.0064136635765872
Fe     1    7750.401268486927     0.9956329522544666
Ni     1    7751.022436112898     0.9921876617841162
Fe     1    7753.243035357763     1.0089875966528337
O      1    7774.082659254023     1.0106883822507622
O      1    7776.305259075406     1.0115761403623726
O      1    7777.52758895167      1.0112530024279591
Ni     1    7791.07324465637      1.01044667218639
Ni     1    7799.72557981853      1.0095802856997858
Rb     1    7802.205249061444     1.0116126410357336
Al     1    7837.464765789455     1.0090498492914297
Al     1    7838.289988531767     1.0102979088463775
Si     1    7852.143727973151     1.0142553603309818
UL     3    4723.47               1.0211857793474994
UL     3    4745.74               1.018805821752822
UL     3    4749.47               1.0227796051404092
UL     3    4765.26               1.0076645063808753
UL     3    4774.16               1.0143104051454535
UL     3    4791.0                0.9903716565337504
UL     3    4808.33               1.0230481917689978
UL     3    4814.84               0.9950331934944049
UL     3    4819.16               1.0146255547726075
UL     3    4825.5                1.0119147735454779
UL     3    4830.74               0.9843046980851188
UL     3    4834.09               1.012746650152409
UL     3    4840.91               1.0107296808259163
UL     3    4849.61               1.0196930671950184
UL     3    4852.85               1.0254601542606883
UL     3    5655.46               1.0
UL     3    5677.0                1.013043424683726
UL     3    5693.09               1.0157492661565128
UL     3    5695.25               1.0143914880824236
UL     3    5707.59               1.0133654468217383
UL     3    5708.68               1.013004033090456
