#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0005333199077224
Fe     1    4734.916110486742     1.0148358163678277
Mn     1    4740.415566878147     1.0213990417402246
Fe     1    4742.8552129917925    1.0171801292912876
Fe     1    4747.1273444713015    1.0203345482455974
Ti     1    4759.448408090701     1.0472339996612325
Ti     1    4760.600613316287     1.0434731836042797
Mn     1    4762.837505895204     1.0273505245399874
Ti     2    4765.857005824366     1.0156705956646706
Fe     1    4780.775258460967     1.0195225248079585
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0333825254956628
Fe     1    4790.095328242028     1.0184995159904198
Cr     1    4790.673881566418     0.9731025334598168
Ti     2    4799.872619512944     1.0086710898750764
Cr     1    4802.366680566258     0.9743260728447217
Fe     1    4804.222172380227     1.0110577803126741
Fe     1    4809.491669170637     0.9840267032694772
Zn     1    4811.881502677758     1.026489270348239
Ti     1    4821.756520598129     1.0198150569624236
Ni     1    4832.529977081299     1.020618942236941
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0172125238122336
Fe     1    4845.367381317484     1.0099574902428845
Cr     2    4849.590501330725     1.0196034447373348
Ti     2    4850.522548526964     0.9959240091270277
Y      2    4856.217358959939     1.0066355129826208
Ti     2    4866.969511046126     1.028263801588834
Ni     1    4867.629286068777     1.0236199944485362
Ti     2    4875.370739800553     0.9971982601846106
Fe     1    4877.238835417714     0.9973132491644633
Fe     1    4883.50749861639      1.0041846043891034
Y      2    4885.046006832402     1.0152735154239185
Cr     2    4885.974153103399     1.0014192642596673
Fe     1    4892.120884126167     1.013655979272324
Fe     1    4892.858079747847     1.0162672554291283
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015259783759016
Fe     1    5664.0875559795395    0.9938124483279491
Si     1    5667.126768463639     1.0180104651965696
Sc     2    5668.721694848641     0.9715556355382151
Fe     1    5669.090793523595     0.9988000302260898
Sc     2    5670.628204538431     1.016025485635979
Fe     1    5680.598770204794     1.013403123369325
Na     1    5684.210135764635     1.0031321973455
Na     1    5689.783325901822     1.0147559257077914
Si     1    5692.003919652215     1.0157689427455183
Fe     1    5703.126093684245     1.0026135331024368
Mg     1    5712.67244653875      1.0187617968066078
Fe     1    5733.351777140469     1.0101683868484115
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0072377850996916
Ni     1    5756.266106436666     1.0156345871110992
Si     1    5773.7487834999965    1.02121622089038
Fe     1    5776.682068284723     1.0198391142977992
Cr     1    5785.46991952334      1.0219968020603987
Cr     1    5789.524004264603     1.0159806869808818
Si     1    5794.678983613339     1.0237434292366918
Fe     1    5808.334937855258     1.019187915520836
Fe     1    5810.828105047002     1.0199592449835007
Fe     1    5853.842217745841     1.0264900855714159
Ca     1    5859.074618420989     1.0169443609536601
Fe     1    5861.214191182892     1.0164515715050495
Fe     1    5863.984932920292     1.0188133208709456
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0139896885172428
Fe     1    6496.775051753972     1.0107832536401857
Fe     1    6500.734015360068     1.0086009808664207
Fe     2    6517.876921161999     1.0194429197042438
Fe     1    6520.16663637006      1.0086637045819657
Fe     1    6548.046527753324     1.0199943835400915
Ni     1    6588.128999672801     1.022643788301724
Fe     1    6594.73337474588      1.0163623701062903
Fe     1    6595.690732061377     1.021794124689137
Fe     1    6599.381424044337     1.023031314019254
Sc     2    6606.425117291336     1.02210835978338
Fe     1    6610.935029524423     1.0124059563582484
Fe     1    6629.374086067407     1.0226808987904967
Ni     1    6645.484617017192     1.0192080756262778
Fe     1    6679.82895072668      1.019643650889338
Al     1    6697.87170219246      1.0183433664383075
Al     1    6700.522414966865     1.0016285089860695
Fe     1    6705.416731065437     1.0183063946377326
Cr     1    6723.703748749681     1.0189034946054916
Fe     1    6727.2123923259205    1.0
Fe     1    6735.0089891072275    1.0
Si     1    7682.383915272238     1.0051103924487568
Mg     1    7693.666959557328     1.0060170383213454
K      1    7701.083260605108     1.00630020636726
Fe     1    7712.487037622347     1.006889367306351
Fe     2    7713.842803447365     1.0071385888680744
Ni     1    7717.714448136995     1.0075648961761223
Fe     1    7750.401268486927     0.9949408430522527
Ni     1    7751.022436112898     0.9910646724302049
Fe     1    7753.243035357763     1.009925336088897
O      1    7774.082659254023     1.0117927707527485
O      1    7776.305259075406     1.012770417420105
O      1    7777.52758895167      1.0124198881786577
Ni     1    7791.07324465637      1.011268627906726
Ni     1    7799.72557981853      1.0103122332146053
Rb     1    7802.205249061444     1.0126116414148865
Al     1    7837.464765789455     1.0099691647557039
Al     1    7838.289988531767     1.0111336544050304
Si     1    7852.143727973151     1.0152305037829672
UL     3    4723.47               1.0222909745569382
UL     3    4745.74               1.019576723317091
UL     3    4749.47               1.02371039143845
UL     3    4765.26               1.0078738619499075
UL     3    4774.16               1.0145981336271335
UL     3    4791.0                0.9898243903671589
UL     3    4808.33               1.0234883271125674
UL     3    4814.84               0.9948094751892756
UL     3    4819.16               1.014853509843466
UL     3    4825.5                1.0120430724060334
UL     3    4830.74               0.984058474788133
UL     3    4834.09               1.0128248810177551
UL     3    4840.91               1.0107433120149518
UL     3    4849.61               1.0196033357375316
UL     3    4852.85               1.0252478755624483
UL     3    5655.46               1.0
UL     3    5677.0                1.0140576323234736
UL     3    5693.09               1.0171070718604371
UL     3    5695.25               1.0154939094540085
UL     3    5707.59               1.0146260832187393
UL     3    5708.68               1.0140666569403056
UL     3    5716.69               1.0158855397585875
UL     3    5719.45               1.0156685787772093
UL     3    5753.66               1.0204498827508128
UL     3    5792.62               1.021534207335151
UL     3    6501.47               1.0126727024370779
UL     3    6571.05               1.0143952835377061
UL     3    6576.88               1.025563297402631
UL     3    6706.96               1.0164778116008704
UL     3    6728.57               1.0
UL     3    7716.42               1.0075620413304993
UL     3    7725.34               1.0031526260936567
UL     3    7729.78               1.0077411819421975
UL     3    7744.87               1.0102608779627835
UL     3    7782.75               1.0123849621567227
UL     3    7810.04               1.011810771287523
UL     3    7834.36               1.0129394572091863
