#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0008669851923915
Fe     1    4734.916110486742     1.0131380246201251
Mn     1    4740.415566878147     1.0191628076914931
Fe     1    4742.8552129917925    1.0154996926555897
Fe     1    4747.1273444713015    1.0186407424611656
Ti     1    4759.448408090701     1.0444475936334097
Ti     1    4760.600613316287     1.0410696008567508
Mn     1    4762.837505895204     1.0259115296642132
Ti     2    4765.857005824366     1.0145825131599278
Fe     1    4780.775258460967     1.0187410377236013
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0318082659460561
Fe     1    4790.095328242028     1.0175870638806603
Cr     1    4790.673881566418     0.9751152996854862
Ti     2    4799.872619512944     1.0082928298188905
Cr     1    4802.366680566258     0.9761474628607458
Fe     1    4804.222172380227     1.0099250114929588
Fe     1    4809.491669170637     0.9852343947385862
Zn     1    4811.881502677758     1.0249813455654175
Ti     1    4821.756520598129     1.0183920924612426
Ni     1    4832.529977081299     1.0186412538805631
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0156517326260521
Fe     1    4845.367381317484     1.0092943638941405
Cr     2    4849.590501330725     1.0174563744062208
Ti     2    4850.522548526964     0.9971434658741986
Y      2    4856.217358959939     1.005945438355619
Ti     2    4866.969511046126     1.0250221216190125
Ni     1    4867.629286068777     1.020943598768717
Ti     2    4875.370739800553     0.9981899926851582
Fe     1    4877.238835417714     0.9979493118054562
Fe     1    4883.50749861639      1.0037634952191135
Y      2    4885.046006832402     1.012817577007849
Cr     2    4885.974153103399     0.9996581862589603
Fe     1    4892.120884126167     1.012141051447739
Fe     1    4892.858079747847     1.0143749454095632
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015305933087781
Fe     1    5664.0875559795395    0.9951077857117876
Si     1    5667.126768463639     1.0157352585210941
Sc     2    5668.721694848641     0.9761381735304147
Fe     1    5669.090793523595     0.9993821776925487
Sc     2    5670.628204538431     1.0139153557574532
Fe     1    5680.598770204794     1.0115939952963258
Na     1    5684.210135764635     1.0029606692133093
Na     1    5689.783325901822     1.0129545886360354
Si     1    5692.003919652215     1.0139364398590154
Fe     1    5703.126093684245     1.002671758200073
Mg     1    5712.67244653875      1.0170234512015592
Fe     1    5733.351777140469     1.0096377314583165
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0070381902391496
