#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0006584241298904
Fe     1    4734.916110486742     1.0142758268817227
Mn     1    4740.415566878147     1.020713699378751
Fe     1    4742.8552129917925    1.0166687866191841
Fe     1    4747.1273444713015    1.0198157880223522
Ti     1    4759.448408090701     1.046380551346531
Ti     1    4760.600613316287     1.0427370720704339
Mn     1    4762.837505895204     1.0268990900123405
Ti     2    4765.857005824366     1.0152641844956187
Fe     1    4780.775258460967     1.019189432724875
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0326129195215183
Fe     1    4790.095328242028     1.0180493149687675
Cr     1    4790.673881566418     0.974118798607325
Ti     2    4799.872619512944     1.0084713728866872
Cr     1    4802.366680566258     0.9753648828450293
Fe     1    4804.222172380227     1.0104037118215667
Fe     1    4809.491669170637     0.9847273282631815
Zn     1    4811.881502677758     1.0255895945770428
Ti     1    4821.756520598129     1.018998729687398
Ni     1    4832.529977081299     1.01955427817065
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0164747849740055
Fe     1    4845.367381317484     1.009678375748304
Cr     2    4849.590501330725     1.0186760185520345
Ti     2    4850.522548526964     0.9964970521319794
Y      2    4856.217358959939     1.0063740491200985
Ti     2    4866.969511046126     1.0272880762131245
Ni     1    4867.629286068777     1.0228264349132032
Ti     2    4875.370739800553     0.9974689322682074
Fe     1    4877.238835417714     0.9974688191409016
Fe     1    4883.50749861639      1.004098742779326
Y      2    4885.046006832402     1.0148408762942884
Cr     2    4885.974153103399     1.0011189334222705
Fe     1    4892.120884126167     1.0134708585603271
Fe     1    4892.858079747847     1.0160444766325671
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.001531233937629
Fe     1    5664.0875559795395    0.9939797132361715
Si     1    5667.126768463639     1.0177296659340689
Sc     2    5668.721694848641     0.9721849329728028
Fe     1    5669.090793523595     0.998893426326047
Sc     2    5670.628204538431     1.015723653959823
Fe     1    5680.598770204794     1.013083383416998
Na     1    5684.210135764635     1.003101511100451
Na     1    5689.783325901822     1.014400081145283
Si     1    5692.003919652215     1.0153939511643144
Fe     1    5703.126093684245     1.0026404759154937
Mg     1    5712.67244653875      1.018307123357748
Fe     1    5733.351777140469     1.009997174668765
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0071731716506103
Ni     1    5756.266106436666     1.0154511214613993
Si     1    5773.7487834999965    1.0210893968531665
Fe     1    5776.682068284723     1.019755080034841
Cr     1    5785.46991952334      1.0219380664311875
Cr     1    5789.524004264603     1.0159701160915902
Si     1    5794.678983613339     1.0237649270553801
Fe     1    5808.334937855258     1.0192735398448405
Fe     1    5810.828105047002     1.0200677562904017
Fe     1    5853.842217745841     1.0271484350086577
Ca     1    5859.074618420989     1.0174895890924007
Fe     1    5861.214191182892     1.0169034048408607
Fe     1    5863.984932920292     1.0194564657319978
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0137095945362027
Fe     1    6496.775051753972     1.0105654128474337
Fe     1    6500.734015360068     1.0083857824129447
Fe     2    6517.876921161999     1.0188728163874134
Fe     1    6520.16663637006      1.0084872577192068
Fe     1    6548.046527753324     1.019423744897909
Ni     1    6588.128999672801     1.0220005825015903
Fe     1    6594.73337474588      1.0160326053342266
Fe     1    6595.690732061377     1.021290242823819
Fe     1    6599.381424044337     1.0225495226976786
Sc     2    6606.425117291336     1.021733662856565
Fe     1    6610.935029524423     1.0122714373850694
Fe     1    6629.374086067407     1.0223777948037815
Ni     1    6645.484617017192     1.0190212759184802
Fe     1    6679.82895072668      1.019520606849579
Al     1    6697.87170219246      1.0182237178533324
Al     1    6700.522414966865     1.0016553188437407
Fe     1    6705.416731065437     1.0182064571364433
Cr     1    6723.703748749681     1.0187551283207474
Fe     1    6727.2123923259205    1.0
Fe     1    6735.0089891072275    1.0
Si     1    7682.383915272238     1.0044513542634097
Mg     1    7693.666959557328     1.0052980395578044
K      1    7701.083260605108     1.0056297314783216
Fe     1    7712.487037622347     1.0062701873980857
Fe     2    7713.842803447365     1.006511810941899
Ni     1    7717.714448136995     1.0069405461274612
Fe     1    7750.401268486927     0.9952335431314927
Ni     1    7751.022436112898     0.9915443390206803
Fe     1    7753.243035357763     1.0095532056774332
O      1    7774.082659254023     1.011468057045007
O      1    7776.305259075406     1.0124309119353936
O      1    7777.52758895167      1.0120908852563189
Ni     1    7791.07324465637      1.0110841474073333
Ni     1    7799.72557981853      1.0101503377898762
Rb     1    7802.205249061444     1.0124108949092747
Al     1    7837.464765789455     1.0097794852423492
Al     1    7838.289988531767     1.0109611536000713
Si     1    7852.143727973151     1.0149936359612268
UL     3    4723.47               1.0210612687968075
UL     3    4745.74               1.0190436836667782
UL     3    4749.47               1.0230995757688763
UL     3    4765.26               1.0077468017062934
UL     3    4774.16               1.014408532129984
UL     3    4791.0                0.9903424045155683
UL     3    4808.33               1.0227918971482577
UL     3    4814.84               0.9952725701709972
UL     3    4819.16               1.0142680093043772
UL     3    4825.5                1.0115807602653126
UL     3    4830.74               0.9852818341441119
UL     3    4834.09               1.0122779741035142
UL     3    4840.91               1.0103887422347875
UL     3    4849.61               1.0186759134941354
UL     3    4852.85               1.023834454096185
