#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0008292567228165
Fe     1    4734.916110486742     1.0132217885428478
Mn     1    4740.415566878147     1.0189356938056129
Fe     1    4742.8552129917925    1.0152036162467486
Fe     1    4747.1273444713015    1.0180846590093116
Ti     1    4759.448408090701     1.0423851396084476
Ti     1    4760.600613316287     1.0391824838799302
Mn     1    4762.837505895204     1.0246662025919786
Ti     2    4765.857005824366     1.01374305130251
Fe     1    4780.775258460967     1.0175500522148138
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0292804029683897
Fe     1    4790.095328242028     1.0160869351359634
Cr     1    4790.673881566418     0.9781082979143263
Ti     2    4799.872619512944     1.0076856643804581
Cr     1    4802.366680566258     0.9789150237734777
Fe     1    4804.222172380227     1.0081343097966842
Fe     1    4809.491669170637     0.9870129502972168
Zn     1    4811.881502677758     1.0227729936279022
Ti     1    4821.756520598129     1.016374301965093
Ni     1    4832.529977081299     1.0165794311476122
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0141672161901716
Fe     1    4845.367381317484     1.0086184345214315
Cr     2    4849.590501330725     1.0156495664046727
Ti     2    4850.522548526964     0.9979774586923637
Y      2    4856.217358959939     1.0053776402513106
Ti     2    4866.969511046126     1.0225815597043986
Ni     1    4867.629286068777     1.0189287039038861
Ti     2    4875.370739800553     0.9987623589325247
Fe     1    4877.238835417714     0.998354865853342
Fe     1    4883.50749861639      1.0034441807334975
Y      2    4885.046006832402     1.010974836487748
Cr     2    4885.974153103399     0.998400115889544
Fe     1    4892.120884126167     1.0109953282114854
Fe     1    4892.858079747847     1.0129619150531468
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.001507572652634
Fe     1    5664.0875559795395    0.995624473199103
Si     1    5667.126768463639     1.014584594219979
Sc     2    5668.721694848641     0.9784615265677647
Fe     1    5669.090793523595     0.9996429864801151
Sc     2    5670.628204538431     1.012730995263802
Fe     1    5680.598770204794     1.0103590736367152
Na     1    5684.210135764635     1.0027539010322328
Na     1    5689.783325901822     1.0111975961011264
Si     1    5692.003919652215     1.0120422874805846
Fe     1    5703.126093684245     1.0025993940754006
Mg     1    5712.67244653875      1.0144244081515916
Fe     1    5733.351777140469     1.0085564957398834
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0065645222612352
Ni     1    5756.266106436666     1.0136484140476911
Si     1    5773.7487834999965    1.01886965321795
Fe     1    5776.682068284723     1.017976033001564
Cr     1    5785.46991952334      1.0199450139331643
Cr     1    5789.524004264603     1.0146693153423065
Si     1    5794.678983613339     1.021470608202832
Fe     1    5808.334937855258     1.0177693456973795
Fe     1    5810.828105047002     1.0184376678218017
Fe     1    5853.842217745841     1.0238998002531485
Ca     1    5859.074618420989     1.014950779376971
Fe     1    5861.214191182892     1.0147425038661644
Fe     1    5863.984932920292     1.016595109243955
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0115909275602675
Fe     1    6496.775051753972     1.0089334103216763
Fe     1    6500.734015360068     1.006886229231308
Fe     2    6517.876921161999     1.0154896057576734
Fe     1    6520.16663637006      1.0072885865724883
Fe     1    6548.046527753324     1.0163570630803458
Ni     1    6588.128999672801     1.0187873614242522
Fe     1    6594.73337474588      1.0141707170093328
Fe     1    6595.690732061377     1.018497128707742
Fe     1    6599.381424044337     1.0196671820642977
Sc     2    6606.425117291336     1.0191815187992697
Fe     1    6610.935029524423     1.011187279875173
Fe     1    6629.374086067407     1.0198492528493273
Ni     1    6645.484617017192     1.01673769584482
Fe     1    6679.82895072668      1.016084374346339
Al     1    6697.87170219246      1.0141896376542059
Al     1    6700.522414966865     1.0021791510649258
Fe     1    6705.416731065437     1.0145988812224755
Cr     1    6723.703748749681     1.014437341363068
Fe     1    6727.2123923259205    1.0
Fe     1    6735.0089891072275    1.0
Si     1    7682.383915272238     1.0010508176138109
Mg     1    7693.666959557328     1.0015452699047234
K      1    7701.083260605108     1.0019239211366386
Fe     1    7712.487037622347     1.0025995322326064
Fe     2    7713.842803447365     1.002754685158286
Ni     1    7717.714448136995     1.0030909018439493
Fe     1    7750.401268486927     0.997503645490216
Ni     1    7751.022436112898     0.9953358018031485
Fe     1    7753.243035357763     1.0060182128999096
O      1    7774.082659254023     1.0076769099387994
O      1    7776.305259075406     1.0083466377898398
O      1    7777.52758895167      1.0081089396222875
Ni     1    7791.07324465637      1.0080919259035857
Ni     1    7799.72557981853      1.007507757110719
Rb     1    7802.205249061444     1.0089215871258914
Al     1    7837.464765789455     1.0065082134437875
Al     1    7838.289988531767     1.0079392074905844
Si     1    7852.143727973151     1.0113902000090864
UL     3    4723.47               1.0198261982258634
UL     3    4745.74               1.0173510643142019
UL     3    4749.47               1.0209655476651305
UL     3    4765.26               1.007324688973226
UL     3    4774.16               1.0133901010867297
UL     3    4791.0                0.9922960477434118
UL     3    4808.33               1.020547102484
UL     3    4814.84               0.9965221348334551
UL     3    4819.16               1.0123825745901347
UL     3    4825.5                1.0100937779697892
UL     3    4830.74               0.9884048982877194
UL     3    4834.09               1.0106519182999776
UL     3    4840.91               1.0091866000522058
UL     3    4849.61               1.015649475597582
UL     3    4852.85               1.018966782437609
UL     3    5655.46               1.0
UL     3    5677.0                1.0108464009247415
UL     3    5693.09               1.0129335082557873
UL     3    5695.25               1.0120159825503712
UL     3    5707.59               1.0110034557943075
UL     3    5708.68               1.0109265443547806
UL     3    5716.69               1.0125647896820051
UL     3    5719.45               1.0124637229744218
UL     3    5753.66               1.0177818852487377
UL     3    5792.62               1.0195416996478486
UL     3    6501.47               1.0103284868265099
UL     3    6571.05               1.0121910231105453
UL     3    6576.88               1.0212259714419956
UL     3    6706.96               1.0130605814739038
UL     3    6728.57               1.0
UL     3    7716.42               1.0029793986699627
UL     3    7725.34               1.0015569076965007
UL     3    7729.78               1.00376069154589
UL     3    7744.87               1.0056700284353153
UL     3    7782.75               1.0084909061828433
UL     3    7810.04               1.0087879312554338
UL     3    7834.36               1.009634890941615
