#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.000681767459146
Fe     1    4734.916110486742     1.0139834785258093
Mn     1    4740.415566878147     1.019895163506759
Fe     1    4742.8552129917925    1.0159295041500274
Fe     1    4747.1273444713015    1.0187969118044393
Ti     1    4759.448408090701     1.0433571819948422
Ti     1    4760.600613316287     1.0400131879868117
Mn     1    4762.837505895204     1.0251529313328116
Ti     2    4765.857005824366     1.014023426247481
Fe     1    4780.775258460967     1.0178176759074722
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0298534052870352
Fe     1    4790.095328242028     1.0164324862072605
Cr     1    4790.673881566418     0.9774260449579527
Ti     2    4799.872619512944     1.0078539771479904
Cr     1    4802.366680566258     0.9781319099059236
Fe     1    4804.222172380227     1.0086793121232374
Fe     1    4809.491669170637     0.9864161115652204
Zn     1    4811.881502677758     1.0235994796714503
Ti     1    4821.756520598129     1.017269292428071
Ni     1    4832.529977081299     1.017731736960074
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0151419755804694
Fe     1    4845.367381317484     1.0090868613474349
Cr     2    4849.590501330725     1.0169251818496163
Ti     2    4850.522548526964     0.9974024150213886
Y      2    4856.217358959939     1.0057958685094037
Ti     2    4866.969511046126     1.0243611486887874
Ni     1    4867.629286068777     1.0203935868924072
Ti     2    4875.370739800553     0.9983883640332447
Fe     1    4877.238835417714     0.9980924827376865
Fe     1    4883.50749861639      1.0036282055757284
Y      2    4885.046006832402     1.0120314441900955
Cr     2    4885.974153103399     0.9991134438244578
Fe     1    4892.120884126167     1.0115675736834124
Fe     1    4892.858079747847     1.0136486975924122
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015339803920722
Fe     1    5664.0875559795395    0.9950225878909479
Si     1    5667.126768463639     1.0157553333925096
Sc     2    5668.721694848641     0.9762467496811886
Fe     1    5669.090793523595     0.9993992002730813
Sc     2    5670.628204538431     1.0137790759145602
Fe     1    5680.598770204794     1.011141353861681
Na     1    5684.210135764635     1.0028814765148601
Na     1    5689.783325901822     1.012037830739843
Si     1    5692.003919652215     1.0128991030244943
Fe     1    5703.126093684245     1.0026360590134709
Mg     1    5712.67244653875      1.0151301274916489
Fe     1    5733.351777140469     1.008765053199453
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0066466193029178
Ni     1    5756.266106436666     1.0138861227405778
Si     1    5773.7487834999965    1.019197860839251
Fe     1    5776.682068284723     1.0182507096297824
Cr     1    5785.46991952334      1.020292100552343
Cr     1    5789.524004264603     1.014909952912915
Si     1    5794.678983613339     1.0218840879771425
Fe     1    5808.334937855258     1.01807991173305
Fe     1    5810.828105047002     1.0187789724479703
Fe     1    5853.842217745841     1.0247401370394853
Ca     1    5859.074618420989     1.0155801219114398
Fe     1    5861.214191182892     1.0152918214724804
Fe     1    5863.984932920292     1.0173200260526816
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0113072363596827
Fe     1    6496.775051753972     1.008718052327071
Fe     1    6500.734015360068     1.006698009134848
Fe     2    6517.876921161999     1.0151697140159723
Fe     1    6520.16663637006      1.007159193325672
Fe     1    6548.046527753324     1.0162121260559716
Ni     1    6588.128999672801     1.0188891685844272
Fe     1    6594.73337474588      1.0142626614591899
Fe     1    6595.690732061377     1.0186295273778316
Fe     1    6599.381424044337     1.0198403198290802
Sc     2    6606.425117291336     1.019383621123983
Fe     1    6610.935029524423     1.0112909403287829
Fe     1    6629.374086067407     1.020201236266732
Ni     1    6645.484617017192     1.0171365803789119
Fe     1    6679.82895072668      1.0167700026525914
Al     1    6697.87170219246      1.0149484308518664
Al     1    6700.522414966865     1.0021364394909633
Fe     1    6705.416731065437     1.0152879810445872
Cr     1    6723.703748749681     1.0151166450705666
Fe     1    6727.2123923259205    1.0
Fe     1    6735.0089891072275    1.0
Si     1    7682.383915272238     1.0018255474698643
Mg     1    7693.666959557328     1.0024950605610476
K      1    7701.083260605108     1.0029007976346684
Fe     1    7712.487037622347     1.0035700973642678
Fe     2    7713.842803447365     1.003746686873544
Ni     1    7717.714448136995     1.0040952064792485
Fe     1    7750.401268486927     0.997075701160028
Ni     1    7751.022436112898     0.9945997355275512
Fe     1    7753.243035357763     1.0067472839877576
O      1    7774.082659254023     1.0082729922764226
O      1    7776.305259075406     1.008968823967029
O      1    7777.52758895167      1.008706122871383
Ni     1    7791.07324465637      1.0085465967063643
Ni     1    7799.72557981853      1.0079137055327478
Rb     1    7802.205249061444     1.0094333719007196
