#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.000697921154173
Fe     1    4734.916110486742     1.0140970905440794
Mn     1    4740.415566878147     1.0204900131427737
Fe     1    4742.8552129917925    1.016499749086597
Fe     1    4747.1273444713015    1.0196339311598264
Ti     1    4759.448408090701     1.0458461277780509
Ti     1    4760.600613316287     1.0422405817751585
Mn     1    4762.837505895204     1.026626612157195
Ti     2    4765.857005824366     1.0149904101267957
Fe     1    4780.775258460967     1.0188145675032778
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0315812222974636
Fe     1    4790.095328242028     1.017405505277949
Cr     1    4790.673881566418     0.9754726628507556
Ti     2    4799.872619512944     1.0081322374508386
Cr     1    4802.366680566258     0.977012676598575
Fe     1    4804.222172380227     1.0093345967066734
Fe     1    4809.491669170637     0.9859732035657324
Zn     1    4811.881502677758     1.0240250139817715
Ti     1    4821.756520598129     1.0172389785054503
Ni     1    4832.529977081299     1.0173025287562871
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0146785688815332
Fe     1    4845.367381317484     1.0088677567476996
Cr     2    4849.590501330725     1.0163439579647549
Ti     2    4850.522548526964     0.9976701948054114
Y      2    4856.217358959939     1.0056436074382316
Ti     2    4866.969511046126     1.024221677048852
Ni     1    4867.629286068777     1.0203102530148989
Ti     2    4875.370739800553     0.9982706914905586
Fe     1    4877.238835417714     0.9979851805479001
Fe     1    4883.50749861639      1.0037860904154718
Y      2    4885.046006832402     1.0130223684713315
Cr     2    4885.974153103399     0.9998348841797288
Fe     1    4892.120884126167     1.012461520962525
Fe     1    4892.858079747847     1.014800351313966
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015342242954732
Fe     1    5664.0875559795395    0.9945073761602206
Si     1    5667.126768463639     1.0167426557843278
Sc     2    5668.721694848641     0.9742770289359022
Fe     1    5669.090793523595     0.9991692167775998
Sc     2    5670.628204538431     1.0147495479338189
Fe     1    5680.598770204794     1.012008763371864
Na     1    5684.210135764635     1.003010658868435
Na     1    5689.783325901822     1.0132146907048416
Si     1    5692.003919652215     1.01415613886615
Fe     1    5703.126093684245     1.0026719952754894
Mg     1    5712.67244653875      1.0168484325497968
Fe     1    5733.351777140469     1.0095229093673228
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0070162976158203
Ni     1    5756.266106436666     1.0149692703875475
Si     1    5773.7487834999965    1.0205920243955087
Fe     1    5776.682068284723     1.019390977332025
Cr     1    5785.46991952334      1.0215569282249886
Cr     1    5789.524004264603     1.0157251346420064
Si     1    5794.678983613339     1.02333285196733
Fe     1    5808.334937855258     1.0190126567480786
Fe     1    5810.828105047002     1.019779918168212
Fe     1    5853.842217745841     1.0262439984938805
Ca     1    5859.074618420989     1.0167262881954768
Fe     1    5861.214191182892     1.0162453044225834
Fe     1    5863.984932920292     1.0185431573530175
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0136495851181782
Fe     1    6496.775051753972     1.0104958282325596
Fe     1    6500.734015360068     1.0082550222770903
Fe     2    6517.876921161999     1.0181326935419404
Fe     1    6520.16663637006      1.0082179824789175
Fe     1    6548.046527753324     1.0183794163983277
Ni     1    6588.128999672801     1.0206978606800934
