#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0005637608168152
Fe     1    4734.916110486742     1.0147476244599178
Mn     1    4740.415566878147     1.02135076931064
Fe     1    4742.8552129917925    1.0171618741985256
Fe     1    4747.1273444713015    1.0203374604475879
Ti     1    4759.448408090701     1.0471871041831569
Ti     1    4760.600613316287     1.0434157749230086
Mn     1    4762.837505895204     1.027292570993169
Ti     2    4765.857005824366     1.015582225933252
Fe     1    4780.775258460967     1.0192556681322376
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0325047676933783
Fe     1    4790.095328242028     1.0179707048062452
Cr     1    4790.673881566418     0.974315073609136
Ti     2    4799.872619512944     1.0083580395175804
Cr     1    4802.366680566258     0.975927823775587
Fe     1    4804.222172380227     1.0100217913562795
Fe     1    4809.491669170637     0.9852364128675258
Zn     1    4811.881502677758     1.0249332125125263
Ti     1    4821.756520598129     1.0182464126106703
Ni     1    4832.529977081299     1.0184990966907517
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0156804602232898
Fe     1    4845.367381317484     1.0093359189241111
Cr     2    4849.590501330725     1.0177098677366587
Ti     2    4850.522548526964     0.996995448273361
Y      2    4856.217358959939     1.0061025080521768
Ti     2    4866.969511046126     1.0264425480953228
Ni     1    4867.629286068777     1.0221457737269897
Ti     2    4875.370739800553     0.997649895092821
Fe     1    4877.238835417714     0.9975699440879046
Fe     1    4883.50749861639      1.0040651983338553
Y      2    4885.046006832402     1.0147064777670873
Cr     2    4885.974153103399     1.001043446169322
Fe     1    4892.120884126167     1.013521472664017
Fe     1    4892.858079747847     1.0161274938146483
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015245910710904
Fe     1    5664.0875559795395    0.9938070195856104
Si     1    5667.126768463639     1.0179874418682442
Sc     2    5668.721694848641     0.9716427436844531
Fe     1    5669.090793523595     0.9988143706076795
Sc     2    5670.628204538431     1.0159694705212192
Fe     1    5680.598770204794     1.0132457113643547
Na     1    5684.210135764635     1.0031109197050967
Na     1    5689.783325901822     1.0145355780051224
Si     1    5692.003919652215     1.0155260065550664
Fe     1    5703.126093684245     1.0026367122194988
Mg     1    5712.67244653875      1.0183270804876332
Fe     1    5733.351777140469     1.0099713083342954
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0071489575219343
