#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0005836469112555
Fe     1    4734.916110486742     1.0146071782783852
Mn     1    4740.415566878147     1.0210582245149697
Fe     1    4742.8552129917925    1.0169080519350082
Fe     1    4747.1273444713015    1.0200267411063324
Ti     1    4759.448408090701     1.0465768958575412
Ti     1    4760.600613316287     1.0428957034585882
Mn     1    4762.837505895204     1.0269850954437743
Ti     2    4765.857005824366     1.015329042934888
Fe     1    4780.775258460967     1.0192308137057036
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0327435554460331
Fe     1    4790.095328242028     1.0181290282007103
Cr     1    4790.673881566418     0.9739362950887596
Ti     2    4799.872619512944     1.0085246452672607
Cr     1    4802.366680566258     0.9750649857624015
Fe     1    4804.222172380227     1.010628942839933
Fe     1    4809.491669170637     0.9844651033965953
Zn     1    4811.881502677758     1.0259267637912393
Ti     1    4821.756520598129     1.0194095769785925
Ni     1    4832.529977081299     1.020215220284021
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0170259294396362
Fe     1    4845.367381317484     1.0099012318066476
Cr     2    4849.590501330725     1.0194672924859087
Ti     2    4850.522548526964     0.9960031157946434
Y      2    4856.217358959939     1.0066269437203723
Ti     2    4866.969511046126     1.0284725976812692
Ni     1    4867.629286068777     1.023803312816715
Ti     2    4875.370739800553     0.9970630267709325
Fe     1    4877.238835417714     0.9972224076326501
Fe     1    4883.50749861639      1.0042816595417887
Y      2    4885.046006832402     1.0157746663265756
Cr     2    4885.974153103399     1.0017814215831764
Fe     1    4892.120884126167     1.0140218185520786
Fe     1    4892.858079747847     1.0167415231860335
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015296957700501
Fe     1    5664.0875559795395    0.993973199030041
Si     1    5667.126768463639     1.0176975161402841
Sc     2    5668.721694848641     0.972303344266929
Fe     1    5669.090793523595     0.9988966534665937
Sc     2    5670.628204538431     1.0156467017827846
Fe     1    5680.598770204794     1.012893590865957
Na     1    5684.210135764635     1.0030855743511211
Na     1    5689.783325901822     1.014115034254735
Si     1    5692.003919652215     1.0150816936075495
Fe     1    5703.126093684245     1.002661653955647
Mg     1    5712.67244653875      1.0177959926110136
Fe     1    5733.351777140469     1.0098100214977148
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0070978735759546
Ni     1    5756.266106436666     1.0152136902042972
Si     1    5773.7487834999965    1.0208068753217896
Fe     1    5776.682068284723     1.0195353261715983
Cr     1    5785.46991952334      1.0216842437182585
Cr     1    5789.524004264603     1.0157958616943397
Si     1    5794.678983613339     1.023459227835318
Fe     1    5808.334937855258     1.0190599800473152
Fe     1    5810.828105047002     1.0198285837622258
Fe     1    5853.842217745841     1.0263643662878035
Ca     1    5859.074618420989     1.0168335049500214
Fe     1    5861.214191182892     1.0163556464832437
Fe     1    5863.984932920292     1.0186738132549311
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0106781428649576
Fe     1    6496.775051753972     1.008287025638605
Fe     1    6500.734015360068     1.0064578101235926
Fe     2    6517.876921161999     1.0157659724056798
Fe     1    6520.16663637006      1.0074327847610085
Fe     1    6548.046527753324     1.01770547834849
Ni     1    6588.128999672801     1.0210526152361423
Fe     1    6594.73337474588      1.0155526598607596
Fe     1    6595.690732061377     1.0205437013700294
Fe     1    6599.381424044337     1.0218519134668131
Sc     2    6606.425117291336     1.0211875721518773
Fe     1    6610.935029524423     1.0120675112842568
Fe     1    6629.374086067407     1.0220216596831477
Ni     1    6645.484617017192     1.0187560599660395
Fe     1    6679.82895072668      1.0190650780493173
Al     1    6697.87170219246      1.0176039419122402
Al     1    6700.522414966865     1.0017880176174827
Fe     1    6705.416731065437     1.0176560243497117
Cr     1    6723.703748749681     1.0179988075241764
Fe     1    6727.2123923259205    1.0
Fe     1    6735.0089891072275    1.0
Si     1    7682.383915272238     1.0036956751658073
Mg     1    7693.666959557328     1.0045629052680052
K      1    7701.083260605108     1.0049557754866374
Fe     1    7712.487037622347     1.0056428426610162
Fe     2    7713.842803447365     1.0058733539675702
Ni     1    7717.714448136995     1.0062917283203654
Fe     1    7750.401268486927     0.9956647454918527
Ni     1    7751.022436112898     0.9922367017641509
Fe     1    7753.243035357763     1.008954860823698
O      1    7774.082659254023     1.0107574303774693
O      1    7776.305259075406     1.0116761669477268
O      1    7777.52758895167      1.011345405082617
Ni     1    7791.07324465637      1.0105595821018196
Ni     1    7799.72557981853      1.00970308192627
Rb     1    7802.205249061444     1.011787845298517
Al     1    7837.464765789455     1.009263420803042
Al     1    7838.289988531767     1.0104922812010133
Si     1    7852.143727973151     1.0144855969099178
UL     3    4723.47               1.0219096778107604
UL     3    4745.74               1.0192714845536854
UL     3    4749.47               1.0233254742005695
UL     3    4765.26               1.0077679602425884
UL     3    4774.16               1.0144311685071845
UL     3    4791.0                0.9902485405296365
UL     3    4808.33               1.0230249210671913
UL     3    4814.84               0.9950801710539396
UL     3    4819.16               1.014545325646471
UL     3    4825.5                1.0118333722725947
UL     3    4830.74               0.9845540090940605
UL     3    4834.09               1.012629807786702
UL     3    4840.91               1.0106489178651246
UL     3    4849.61               1.0194671840493041
UL     3    4852.85               1.0251145648435382
UL     3    5655.46               1.0
UL     3    5677.0                1.0135759565845648
UL     3    5693.09               1.0163179622990501
UL     3    5695.25               1.0148440547343691
UL     3    5707.59               1.013831361659181
UL     3    5708.68               1.0133965750468856
UL     3    5716.69               1.015166013517142
UL     3    5719.45               1.0149601695155794
UL     3    5753.66               1.0198873597577147
UL     3    5792.62               1.0212623903021383
UL     3    6501.47               1.0097726756343548
UL     3    6571.05               1.013334995262146
UL     3    6576.88               1.023603120804183
UL     3    6706.96               1.0158689805933623
UL     3    6728.57               1.0
UL     3    7716.42               1.0062339463482213
UL     3    7725.34               1.0027428567856924
UL     3    7729.78               1.0066725728116375
UL     3    7744.87               1.0090680414233328
UL     3    7782.75               1.0114812928490307
UL     3    7810.04               1.0111666869932072
UL     3    7834.36               1.0122680491232396
