#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.000764752184973
Fe     1    4734.916110486742     1.0137115175395484
Mn     1    4740.415566878147     1.0198712329834139
Fe     1    4742.8552129917925    1.016033057513431
Fe     1    4747.1273444713015    1.0191208100621862
Ti     1    4759.448408090701     1.0449673784684246
Ti     1    4760.600613316287     1.041491685889379
Mn     1    4762.837505895204     1.0261358275191377
Ti     2    4765.857005824366     1.0146934419736502
Fe     1    4780.775258460967     1.0187321776714469
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.031703405314703
Fe     1    4790.095328242028     1.0175221252400384
Cr     1    4790.673881566418     0.9752589091170007
Ti     2    4799.872619512944     1.0082607601993803
Cr     1    4802.366680566258     0.9762933427376382
Fe     1    4804.222172380227     1.009839988087931
Fe     1    4809.491669170637     0.9852945191811391
Zn     1    4811.881502677758     1.0249318873579178
Ti     1    4821.756520598129     1.0184714009829487
Ni     1    4832.529977081299     1.01900085660256
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0161042402612197
Fe     1    4845.367381317484     1.0095197173397963
Cr     2    4849.590501330725     1.0182633356801032
Ti     2    4850.522548526964     0.9966951714802661
Y      2    4856.217358959939     1.0062630539864381
Ti     2    4866.969511046126     1.0269555980943696
Ni     1    4867.629286068777     1.022557370325042
Ti     2    4875.370739800553     0.9975532908091567
Fe     1    4877.238835417714     0.9975188792503753
Fe     1    4883.50749861639      1.0040726482735247
Y      2    4885.046006832402     1.014710047890196
Cr     2    4885.974153103399     1.0010282883182797
Fe     1    4892.120884126167     1.0134146844368759
Fe     1    4892.858079747847     1.0159767266082327
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015354193347044
Fe     1    5664.0875559795395    0.9946344545777691
Si     1    5667.126768463639     1.0165759593660035
Sc     2    5668.721694848641     0.9745609043025113
Fe     1    5669.090793523595     0.9992042697103343
Sc     2    5670.628204538431     1.0146502910108488
Fe     1    5680.598770204794     1.0120477065891924
Na     1    5684.210135764635     1.0030178985318696
Na     1    5689.783325901822     1.0133401688704364
Si     1    5692.003919652215     1.014301105652445
Fe     1    5703.126093684245     1.0026696411702942
Mg     1    5712.67244653875      1.0170508798285929
Fe     1    5733.351777140469     1.0095639265789234
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.006999166127591
Ni     1    5756.266106436666     1.0149111107996025
Si     1    5773.7487834999965    1.0204666070267534
Fe     1    5776.682068284723     1.0192737027925491
Cr     1    5785.46991952334      1.021446831047634
Cr     1    5789.524004264603     1.0156607937514404
Si     1    5794.678983613339     1.0232330886388992
Fe     1    5808.334937855258     1.0190038526013743
Fe     1    5810.828105047002     1.0197848459669532
Fe     1    5853.842217745841     1.0269775294408283
Ca     1    5859.074618420989     1.017380165182999
Fe     1    5861.214191182892     1.016824703518916
Fe     1    5863.984932920292     1.0193660361447385
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.014401039326196
Fe     1    6496.775051753972     1.0110114134395425
Fe     1    6500.734015360068     1.0085759368115097
Fe     2    6517.876921161999     1.0177038163514958
Fe     1    6520.16663637006      1.008034152705291
