#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0006730062940734
Fe     1    4734.916110486742     1.014194865816177
Mn     1    4740.415566878147     1.0205875927041543
Fe     1    4742.8552129917925    1.0165687044693905
Fe     1    4747.1273444713015    1.0197072795372444
Ti     1    4759.448408090701     1.0462196229338336
Ti     1    4760.600613316287     1.042603539484243
Mn     1    4762.837505895204     1.0268244374102022
Ti     2    4765.857005824366     1.0152086249790149
Fe     1    4780.775258460967     1.0192004744950611
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0327096711124648
Fe     1    4790.095328242028     1.0181100966501722
Cr     1    4790.673881566418     0.9739774934760155
Ti     2    4799.872619512944     1.0085148036432294
Cr     1    4802.366680566258     0.9751251007959792
Fe     1    4804.222172380227     1.0105876578699067
Fe     1    4809.491669170637     0.9845338793661554
Zn     1    4811.881502677758     1.025830632405378
Ti     1    4821.756520598129     1.019252730913933
Ni     1    4832.529977081299     1.0198949962593222
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0167136697937063
Fe     1    4845.367381317484     1.0097706407393114
Cr     2    4849.590501330725     1.0189681427174742
Ti     2    4850.522548526964     0.9963231889433433
Y      2    4856.217358959939     1.0064540655725491
Ti     2    4866.969511046126     1.0275528516970978
Ni     1    4867.629286068777     1.0230398241045704
Ti     2    4875.370739800553     0.997407752278784
Fe     1    4877.238835417714     0.9974344977600927
Fe     1    4883.50749861639      1.0041117069947043
Y      2    4885.046006832402     1.0148977461529083
Cr     2    4885.974153103399     1.0011541293430444
Fe     1    4892.120884126167     1.0134695238893723
Fe     1    4892.858079747847     1.016037739444476
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015316021307856
Fe     1    5664.0875559795395    0.9939750701898432
Si     1    5667.126768463639     1.0177526092607467
Sc     2    5668.721694848641     0.9721184492668978
Fe     1    5669.090793523595     0.9988831452244119
Sc     2    5670.628204538431     1.015781947984328
Fe     1    5680.598770204794     1.0131508473871278
Na     1    5684.210135764635     1.003106497986756
Na     1    5689.783325901822     1.0144858358859685
Si     1    5692.003919652215     1.015504594959249
Fe     1    5703.126093684245     1.002634681065882
Mg     1    5712.67244653875      1.0183943179556254
Fe     1    5733.351777140469     1.0100000466560173
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0071549179606194
Ni     1    5756.266106436666     1.0153874219485526
Si     1    5773.7487834999965    1.0209357872854632
Fe     1    5776.682068284723     1.019625626737053
Cr     1    5785.46991952334      1.0217576819364358
Cr     1    5789.524004264603     1.0158352545392497
Si     1    5794.678983613339     1.023520038125918
Fe     1    5808.334937855258     1.0190926993347018
Fe     1    5810.828105047002     1.0198657426382614
Fe     1    5853.842217745841     1.0267271274376848
Ca     1    5859.074618420989     1.017150156858169
Fe     1    5861.214191182892     1.016630665173342
Fe     1    5863.984932920292     1.0190905058663489
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0129574625863258
Fe     1    6496.775051753972     1.0100076809255003
Fe     1    6500.734015360068     1.0079295064732487
Fe     2    6517.876921161999     1.018237751217385
Fe     1    6520.16663637006      1.0082792762401533
Fe     1    6548.046527753324     1.0191085900793142
Ni     1    6588.128999672801     1.0216712388090163
Fe     1    6594.73337474588      1.0158332362321574
Fe     1    6595.690732061377     1.0209785885016804
Fe     1    6599.381424044337     1.0222242174152458
Sc     2    6606.425117291336     1.0214129421309812
Fe     1    6610.935029524423     1.0121333779636021
Fe     1    6629.374086067407     1.0219889902101913
Ni     1    6645.484617017192     1.0186244932449882
Fe     1    6679.82895072668      1.018999474972582
Al     1    6697.87170219246      1.0177540547515926
Al     1    6700.522414966865     1.001750846023112
Fe     1    6705.416731065437     1.0178675984610126
Cr     1    6723.703748749681     1.0184940431469651
Fe     1    6727.2123923259205    1.0
Fe     1    6735.0089891072275    1.0
Si     1    7682.383915272238     1.004448309556508
Mg     1    7693.666959557328     1.0053141613923633
K      1    7701.083260605108     1.0056521358694581
Fe     1    7712.487037622347     1.0062954389695566
Fe     2    7713.842803447365     1.0065374640586433
Ni     1    7717.714448136995     1.0069658251198648
Fe     1    7750.401268486927     0.9952439016157707
Ni     1    7751.022436112898     0.9915623500655346
Fe     1    7753.243035357763     1.0095347367255199
O      1    7774.082659254023     1.011397059917076
O      1    7776.305259075406     1.0123482424728283
O      1    7777.52758895167      1.0120060967994302
Ni     1    7791.07324465637      1.01100189913083
Ni     1    7799.72557981853      1.010064394795491
Rb     1    7802.205249061444     1.0122761137922818
Al     1    7837.464765789455     1.0096106308784747
Al     1    7838.289988531767     1.0108075156523824
Si     1    7852.143727973151     1.0147960712698607
UL     3    4723.47               1.020985090198091
UL     3    4745.74               1.0189340707593912
UL     3    4749.47               1.0229702728628056
UL     3    4765.26               1.0077284559720976
UL     3    4774.16               1.0143996316666664
UL     3    4791.0                0.9902692306973396
UL     3    4808.33               1.022966707766189
UL     3    4814.84               0.9951411572773642
UL     3    4819.16               1.0144463723436574
UL     3    4825.5                1.0117282390165006
UL     3    4830.74               0.9848968013760443
UL     3    4834.09               1.0124550732244824
UL     3    4840.91               1.010505342378795
UL     3    4849.61               1.0189680363917395
UL     3    4852.85               1.0242725350325026
UL     3    5655.46               1.0
UL     3    5677.0                1.0137958778707796
UL     3    5693.09               1.0168045198039641
UL     3    5695.25               1.01525450159173
UL     3    5707.59               1.0143152022734623
UL     3    5708.68               1.0138028863009174
UL     3    5716.69               1.0156018838595988
UL     3    5719.45               1.0153839898232067
UL     3    5753.66               1.0201360123614909
UL     3    5792.62               1.0213329016830759
UL     3    6501.47               1.0117769310748608
UL     3    6571.05               1.0138865894321902
UL     3    6576.88               1.0245774805274022
UL     3    6706.96               1.016081293550621
UL     3    6728.57               1.0
UL     3    7716.42               1.0069346615649581
UL     3    7725.34               1.0029739098650976
UL     3    7729.78               1.007253858842151
UL     3    7744.87               1.0097453027740486
UL     3    7782.75               1.0120309984558165
UL     3    7810.04               1.011550517132153
UL     3    7834.36               1.0126107792149017
