#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0005977508009396
Fe     1    4734.916110486742     1.0145074464735184
Mn     1    4740.415566878147     1.0209296494148492
Fe     1    4742.8552129917925    1.0168026709421438
Fe     1    4747.1273444713015    1.0199062106341026
Ti     1    4759.448408090701     1.0463607636498289
Ti     1    4760.600613316287     1.0427118114315912
Mn     1    4762.837505895204     1.0268766479603204
Ti     2    4765.857005824366     1.0152400077257897
Fe     1    4780.775258460967     1.0192092295732325
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0327690242007042
Fe     1    4790.095328242028     1.0181483526701496
Cr     1    4790.673881566418     0.9738866069760771
Ti     2    4799.872619512944     1.0085516597096864
Cr     1    4802.366680566258     0.9749054897352333
Fe     1    4804.222172380227     1.0107327235893027
Fe     1    4809.491669170637     0.9843224572789654
Zn     1    4811.881502677758     1.0261071610431525
Ti     1    4821.756520598129     1.019607360171578
Ni     1    4832.529977081299     1.020488470440677
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0172077761098415
Fe     1    4845.367381317484     1.0099658629652444
Cr     2    4849.590501330725     1.0196804109214064
Ti     2    4850.522548526964     0.9958671005657521
Y      2    4856.217358959939     1.0066790825549403
Ti     2    4866.969511046126     1.0285932258072898
Ni     1    4867.629286068777     1.0238966484558465
Ti     2    4875.370739800553     0.9970587991940573
Fe     1    4877.238835417714     0.997225050889695
Fe     1    4883.50749861639      1.0042668331317024
Y      2    4885.046006832402     1.0156765382449457
Cr     2    4885.974153103399     1.001700141788547
Fe     1    4892.120884126167     1.0139073841150483
Fe     1    4892.858079747847     1.0165880933811902
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015335718476497
Fe     1    5664.0875559795395    0.9940840032614113
Si     1    5667.126768463639     1.017507940120217
Sc     2    5668.721694848641     0.9726347327297391
Fe     1    5669.090793523595     0.9989443196407963
Sc     2    5670.628204538431     1.015506150180645
Fe     1    5680.598770204794     1.0128018716857425
Na     1    5684.210135764635     1.003079802461447
Na     1    5689.783325901822     1.0140559295544114
Si     1    5692.003919652215     1.0150283682222179
Fe     1    5703.126093684245     1.0026626673675114
Mg     1    5712.67244653875      1.0177911770669035
Fe     1    5733.351777140469     1.0098133383337238
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.007097061121704
Ni     1    5756.266106436666     1.015210342005459
Si     1    5773.7487834999965    1.0207781721802427
Fe     1    5776.682068284723     1.0195226554272232
Cr     1    5785.46991952334      1.0216671451121169
Cr     1    5789.524004264603     1.0157848346293017
Si     1    5794.678983613339     1.0234390336572892
Fe     1    5808.334937855258     1.0190509856511285
Fe     1    5810.828105047002     1.0198201646219787
Fe     1    5853.842217745841     1.0264524997350584
Ca     1    5859.074618420989     1.0169203302127685
Fe     1    5861.214191182892     1.016432752547582
Fe     1    5863.984932920292     1.0187882054526993
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0115267209360295
Fe     1    6496.775051753972     1.0089120843089296
Fe     1    6500.734015360068     1.006945071340877
Fe     2    6517.876921161999     1.0162218666296643
Fe     1    6520.16663637006      1.0075773975018538
Fe     1    6548.046527753324     1.0175721507347455
Ni     1    6588.128999672801     1.0205900533956607
Fe     1    6594.73337474588      1.0152796658234544
Fe     1    6595.690732061377     1.0200987273808655
Fe     1    6599.381424044337     1.0214424003512033
Sc     2    6606.425117291336     1.0208418040292844
Fe     1    6610.935029524423     1.011933758734481
Fe     1    6629.374086067407     1.021786231616537
Ni     1    6645.484617017192     1.0186553067532045
Fe     1    6679.82895072668      1.0193946686655069
Al     1    6697.87170219246      1.0181703159244262
Al     1    6700.522414966865     1.0016657502402668
Fe     1    6705.416731065437     1.0181734870308103
Cr     1    6723.703748749681     1.018700033438053
Fe     1    6727.2123923259205    1.0
Fe     1    6735.0089891072275    1.0
Si     1    7682.383915272238     1.003081526561268
