#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0006922074424534
Fe     1    4734.916110486742     1.0140454329783029
Mn     1    4740.415566878147     1.020266055095753
Fe     1    4742.8552129917925    1.0162815613412084
Fe     1    4747.1273444713015    1.0193332278287024
Ti     1    4759.448408090701     1.0451442594778046
Ti     1    4760.600613316287     1.0416332714770788
Mn     1    4762.837505895204     1.026210335208234
Ti     2    4765.857005824366     1.0147317027489355
Fe     1    4780.775258460967     1.018765016573203
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0318032873047966
Fe     1    4790.095328242028     1.0175831121154795
Cr     1    4790.673881566418     0.9751247376642546
Ti     2    4799.872619512944     1.008297352777579
Cr     1    4802.366680566258     0.9761048917784007
Fe     1    4804.222172380227     1.0099624795299462
Fe     1    4809.491669170637     0.985152535991262
Zn     1    4811.881502677758     1.025106307853507
Ti     1    4821.756520598129     1.0186240023285955
Ni     1    4832.529977081299     1.0191168555670138
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.016096264940469
Fe     1    4845.367381317484     1.0094992978319761
Cr     2    4849.590501330725     1.0181216404162685
Ti     2    4850.522548526964     0.9967841985245688
Y      2    4856.217358959939     1.0061747501592917
Ti     2    4866.969511046126     1.026124580154631
Ni     1    4867.629286068777     1.0218551084037522
Ti     2    4875.370739800553     0.9978933309613561
Fe     1    4877.238835417714     0.9977529019995245
Fe     1    4883.50749861639      1.0038946292339561
Y      2    4885.046006832402     1.0136053183150153
Cr     2    4885.974153103399     1.0002126965943001
Fe     1    4892.120884126167     1.0125930977786886
Fe     1    4892.858079747847     1.014932355032437
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.001535103093877
Fe     1    5664.0875559795395    0.9945962057309035
Si     1    5667.126768463639     1.0166060840953892
Sc     2    5668.721694848641     0.9745380016380816
Fe     1    5669.090793523595     0.9992025368042136
Sc     2    5670.628204538431     1.0146404389664074
Fe     1    5680.598770204794     1.011959522200477
Na     1    5684.210135764635     1.0029954033818291
Na     1    5689.783325901822     1.013189569139401
Si     1    5692.003919652215     1.014136113806718
Fe     1    5703.126093684245     1.0026720223178285
Mg     1    5712.67244653875      1.0168418921371358
Fe     1    5733.351777140469     1.0094977604406359
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0069872891269542
Ni     1    5756.266106436666     1.014876167108154
Si     1    5773.7487834999965    1.0204138114629966
Fe     1    5776.682068284723     1.0192263510453135
Cr     1    5785.46991952334      1.0213653608826734
Cr     1    5789.524004264603     1.0155982260967313
Si     1    5794.678983613339     1.0230865895484778
Fe     1    5808.334937855258     1.0188263871559635
Fe     1    5810.828105047002     1.0195767745546334
Fe     1    5853.842217745841     1.0259466685847733
Ca     1    5859.074618420989     1.0164919061152586
Fe     1    5861.214191182892     1.0160656633755012
Fe     1    5863.984932920292     1.0183148292892474
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0133632289394112
Fe     1    6496.775051753972     1.0103087661255052
Fe     1    6500.734015360068     1.0081689363604227
Fe     2    6517.876921161999     1.0185451820849105
Fe     1    6520.16663637006      1.008373259606923
Fe     1    6548.046527753324     1.0192126841183995
Ni     1    6588.128999672801     1.0216811037449443
Fe     1    6594.73337474588      1.0158306201284217
Fe     1    6595.690732061377     1.0209722309703855
Fe     1    6599.381424044337     1.022209581989181
Sc     2    6606.425117291336     1.021385033406479
Fe     1    6610.935029524423     1.0121179331983592
Fe     1    6629.374086067407     1.021884743032339
Ni     1    6645.484617017192     1.0184577590234194
Fe     1    6679.82895072668      1.0184681417653563
Al     1    6697.87170219246      1.0169646509775263
Al     1    6700.522414966865     1.0018868486710826
Fe     1    6705.416731065437     1.0171426191562287
Cr     1    6723.703748749681     1.0175296455858327
Fe     1    6727.2123923259205    1.0
Fe     1    6735.0089891072275    1.0
Si     1    7682.383915272238     1.0034387692081574
Mg     1    7693.666959557328     1.00421010247265
K      1    7701.083260605108     1.004595302532537
Fe     1    7712.487037622347     1.0052392068414566
Fe     2    7713.842803447365     1.0054574720821818
Ni     1    7717.714448136995     1.0058569897618166
Fe     1    7750.401268486927     0.995979976771807
Ni     1    7751.022436112898     0.9927534287671458
Fe     1    7753.243035357763     1.008508025818891
O      1    7774.082659254023     1.010188889157515
O      1    7776.305259075406     1.0110430486844157
O      1    7777.52758895167      1.0107164896750063
Ni     1    7791.07324465637      1.0101031678094494
Ni     1    7799.72557981853      1.0092664774308358
Rb     1    7802.205249061444     1.011197267601007
Al     1    7837.464765789455     1.0085979041145379
Al     1    7838.289988531767     1.0098820368402446
Si     1    7852.143727973151     1.01369473606694
UL     3    4723.47               1.0210342066198952
UL     3    4745.74               1.0185782645543262
UL     3    4749.47               1.0224783190327371
UL     3    4765.26               1.0075781338771712
UL     3    4774.16               1.0141400078810157
UL     3    4791.0                0.990845980135974
UL     3    4808.33               1.0223815372832743
UL     3    4814.84               0.9955025396690966
UL     3    4819.16               1.0139875423226312
UL     3    4825.5                1.011377208550365
UL     3    4830.74               0.9857707655881174
UL     3    4834.09               1.0120474988888752
UL     3    4840.91               1.0101909481517328
UL     3    4849.61               1.0181215377783959
UL     3    4852.85               1.0228713960119575
UL     3    5655.46               1.0
UL     3    5677.0                1.0125750343701247
UL     3    5693.09               1.0152604751274208
UL     3    5695.25               1.0140011220263312
UL     3    5707.59               1.0129871535966473
UL     3    5708.68               1.0126796437470913
UL     3    5716.69               1.0144470235198628
UL     3    5719.45               1.0142731912909608
UL     3    5753.66               1.0194060353746022
UL     3    5792.62               1.0209498269918935
UL     3    6501.47               1.0120930844058593
UL     3    6571.05               1.0139125436251955
UL     3    6576.88               1.0246147551673748
UL     3    6706.96               1.015404806038594
UL     3    6728.57               1.0
UL     3    7716.42               1.0057874388367847
UL     3    7725.34               1.0025914094501331
UL     3    7729.78               1.0062565807164323
UL     3    7744.87               1.0085459585411864
UL     3    7782.75               1.010932392802078
UL     3    7810.04               1.0106767097382305
UL     3    7834.36               1.0116380395970959
