#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0005363137647214
Fe     1    4734.916110486742     1.0148218845418338
Mn     1    4740.415566878147     1.0213703260947364
Fe     1    4742.8552129917925    1.0171524190792929
Fe     1    4747.1273444713015    1.0202915088726876
Ti     1    4759.448408090701     1.0470404193436211
Ti     1    4760.600613316287     1.043293142418033
Mn     1    4762.837505895204     1.027224716191837
Ti     2    4765.857005824366     1.0155364005236922
Fe     1    4780.775258460967     1.0193422802123007
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0329088452804465
Fe     1    4790.095328242028     1.0182203190456398
Cr     1    4790.673881566418     0.9737397800951595
Ti     2    4799.872619512944     1.0085407866147427
Cr     1    4802.366680566258     0.975009637354218
Fe     1    4804.222172380227     1.0106507644389127
Fe     1    4809.491669170637     0.9844756972492816
Zn     1    4811.881502677758     1.0258966175136954
Ti     1    4821.756520598129     1.0193225758356244
Ni     1    4832.529977081299     1.020037284379786
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.016868777355107
Fe     1    4845.367381317484     1.0098386845598923
Cr     2    4849.590501330725     1.0192380396449727
Ti     2    4850.522548526964     0.9961504783133932
Y      2    4856.217358959939     1.0065547785580322
Ti     2    4866.969511046126     1.028144433213022
Ni     1    4867.629286068777     1.02353345625958
Ti     2    4875.370739800553     0.9971703654062058
Fe     1    4877.238835417714     0.9972871541937911
Fe     1    4883.50749861639      1.0042391378691802
Y      2    4885.046006832402     1.0155465533084287
Cr     2    4885.974153103399     1.0016144641378235
Fe     1    4892.120884126167     1.0138900769150168
Fe     1    4892.858079747847     1.0165755244012942
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015164322938195
Fe     1    5664.0875559795395    0.9936205321441263
Si     1    5667.126768463639     1.0182688136135611
Sc     2    5668.721694848641     0.9710330068183574
Fe     1    5669.090793523595     0.9987230079937925
Sc     2    5670.628204538431     1.016224584929221
Fe     1    5680.598770204794     1.0134714652492707
Na     1    5684.210135764635     1.003133708660301
Na     1    5689.783325901822     1.0147209810931967
Si     1    5692.003919652215     1.0157092063721904
Fe     1    5703.126093684245     1.0026262277668623
Mg     1    5712.67244653875      1.0184807858646354
Fe     1    5733.351777140469     1.0100169990354915
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0071687618452971
Ni     1    5756.266106436666     1.0154343260686018
Si     1    5773.7487834999965    1.021034426085621
