#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0006923944310349
Fe     1    4734.916110486742     1.0140969704922038
Mn     1    4740.415566878147     1.0204469585036597
Fe     1    4742.8552129917925    1.0164576235940737
Fe     1    4747.1273444713015    1.0195829114712374
Ti     1    4759.448408090701     1.0458624780609345
Ti     1    4760.600613316287     1.0423642545783702
Mn     1    4762.837505895204     1.0266715566697964
Ti     2    4765.857005824366     1.0150656489446093
Fe     1    4780.775258460967     1.0190580613803835
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0323627875406751
Fe     1    4790.095328242028     1.017905272015756
Cr     1    4790.673881566418     0.9744334559027259
Ti     2    4799.872619512944     1.0084185243216757
Cr     1    4802.366680566258     0.9756172774980515
Fe     1    4804.222172380227     1.0102475258174857
Fe     1    4809.491669170637     0.984895335210348
Zn     1    4811.881502677758     1.0253885213945009
Ti     1    4821.756520598129     1.0187972985343727
Ni     1    4832.529977081299     1.0192508568019367
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0161718416281884
Fe     1    4845.367381317484     1.0095307255241406
Cr     2    4849.590501330725     1.0182251966976388
Ti     2    4850.522548526964     0.9967253596634046
Y      2    4856.217358959939     1.0062150600805475
Ti     2    4866.969511046126     1.0264843481009354
Ni     1    4867.629286068777     1.0221571781242602
Ti     2    4875.370739800553     0.9977658212405416
Fe     1    4877.238835417714     0.9976635220865845
Fe     1    4883.50749861639      1.0039647557986857
Y      2    4885.046006832402     1.0140552318299119
Cr     2    4885.974153103399     1.0005453823868167
Fe     1    4892.120884126167     1.0129367307077868
Fe     1    4892.858079747847     1.015371772121006
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015343420610971
Fe     1    5664.0875559795395    0.9944568109727822
Si     1    5667.126768463639     1.0168986101228426
Sc     2    5668.721694848641     0.9738798192626752
Fe     1    5669.090793523595     0.9991142319380432
Sc     2    5670.628204538431     1.0149698917303345
Fe     1    5680.598770204794     1.0124006850490035
Na     1    5684.210135764635     1.0030509513914598
Na     1    5689.783325901822     1.0137491465158908
Si     1    5692.003919652215     1.0147365355615647
Fe     1    5703.126093684245     1.002656739588748
Mg     1    5712.67244653875      1.0176874592237517
Fe     1    5733.351777140469     1.0098331239572604
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0071186820832405
Ni     1    5756.266106436666     1.0152800062795224
Si     1    5773.7487834999965    1.020887707317365
Fe     1    5776.682068284723     1.0195967533297683
Cr     1    5785.46991952334      1.0217469398924726
Cr     1    5789.524004264603     1.0158326770915387
Si     1    5794.678983613339     1.0235212922639707
Fe     1    5808.334937855258     1.0190900778118932
Fe     1    5810.828105047002     1.0198599722167363
Fe     1    5853.842217745841     1.0264437314329904
Ca     1    5859.074618420989     1.016907700503926
Fe     1    5861.214191182892     1.0164207302327053
Fe     1    5863.984932920292     1.0187692710164273
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
