#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0005738749310111
Fe     1    4734.916110486742     1.014653533541446
Mn     1    4740.415566878147     1.0211308706407711
Fe     1    4742.8552129917925    1.0169675573580352
Fe     1    4747.1273444713015    1.0200972560473776
Ti     1    4759.448408090701     1.0467505287135614
Ti     1    4760.600613316287     1.0430504722757417
Mn     1    4762.837505895204     1.0270854197536126
Ti     2    4765.857005824366     1.0154254191001817
Fe     1    4780.775258460967     1.0193263224196256
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0329674714664192
Fe     1    4790.095328242028     1.0182600502085934
Cr     1    4790.673881566418     0.9736423246272281
Ti     2    4799.872619512944     1.008580773904134
Cr     1    4802.366680566258     0.9747781687921474
Fe     1    4804.222172380227     1.0107991243877645
Fe     1    4809.491669170637     0.9842976954880679
Zn     1    4811.881502677758     1.0261479336821089
Ti     1    4821.756520598129     1.0195994285946548
Ni     1    4832.529977081299     1.0204342820620256
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0171555069559253
Fe     1    4845.367381317484     1.009945949545498
Cr     2    4849.590501330725     1.0196085078794883
Ti     2    4850.522548526964     0.9959140267259599
Y      2    4856.217358959939     1.0066597322132202
Ti     2    4866.969511046126     1.0285440481682004
Ni     1    4867.629286068777     1.0238585298716993
Ti     2    4875.370739800553     0.9970596674901518
Fe     1    4877.238835417714     0.9972231329889134
Fe     1    4883.50749861639      1.0042746134941307
Y      2    4885.046006832402     1.0157279749003094
Cr     2    4885.974153103399     1.0017427756606863
Fe     1    4892.120884126167     1.0139686082439205
Fe     1    4892.858079747847     1.0166704326442366
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015274684932554
Fe     1    5664.0875559795395    0.9938900791196515
Si     1    5667.126768463639     1.017851258786249
Sc     2    5668.721694848641     0.9719450731118486
Fe     1    5669.090793523595     0.9988592269352169
Sc     2    5670.628204538431     1.0158368030458316
Fe     1    5680.598770204794     1.0131155579623126
Na     1    5684.210135764635     1.0031025174510706
Na     1    5689.783325901822     1.0143912572748086
Si     1    5692.003919652215     1.01537616506249
Fe     1    5703.126093684245     1.002643758423977
Mg     1    5712.67244653875      1.0182050275123318
Fe     1    5733.351777140469     1.0099548390242254
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0071503966327249
Ni     1    5756.266106436666     1.015376752655019
Si     1    5773.7487834999965    1.0209677646314106
Fe     1    5776.682068284723     1.0196552654742668
Cr     1    5785.46991952334      1.0218034467891917
Cr     1    5789.524004264603     1.0158658351636587
Si     1    5794.678983613339     1.0235788497382354
Fe     1    5808.334937855258     1.019123587644975
Fe     1    5810.828105047002     1.0198965449504123
Fe     1    5853.842217745841     1.0265373808279132
Ca     1    5859.074618420989     1.0169855068011
Fe     1    5861.214191182892     1.0164853745465172
Fe     1    5863.984932920292     1.0188577011152742
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0116299626287815
Fe     1    6496.775051753972     1.0090407338780094
