#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0006485802893126
Fe     1    4734.916110486742     1.014304749882142
Mn     1    4740.415566878147     1.0207126851890742
Fe     1    4742.8552129917925    1.0166533537147862
Fe     1    4747.1273444713015    1.0197726067847008
Ti     1    4759.448408090701     1.0461565348824606
Ti     1    4760.600613316287     1.0425303644500121
Mn     1    4762.837505895204     1.0267577978676299
Ti     2    4765.857005824366     1.015121115114922
Fe     1    4780.775258460967     1.0190180954032226
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0321823841006252
Fe     1    4790.095328242028     1.0177943110504473
Cr     1    4790.673881566418     0.9746838231251088
Ti     2    4799.872619512944     1.0083355893489998
Cr     1    4802.366680566258     0.9759799912640869
Fe     1    4804.222172380227     1.0100135639978927
Fe     1    4809.491669170637     0.985177488068395
Zn     1    4811.881502677758     1.025035734289364
Ti     1    4821.756520598129     1.018425176611573
Ni     1    4832.529977081299     1.0187549795497497
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.015794298687653
Fe     1    4845.367381317484     1.0093703901048725
Cr     2    4849.590501330725     1.0177407268805976
Ti     2    4850.522548526964     0.996988231989319
Y      2    4856.217358959939     1.0060680693625326
Ti     2    4866.969511046126     1.0258245394836618
Ni     1    4867.629286068777     1.0216178000059224
Ti     2    4875.370739800553     0.9979245473441869
Fe     1    4877.238835417714     0.9977644115922639
Fe     1    4883.50749861639      1.0039087374257742
Y      2    4885.046006832402     1.0137238969358857
Cr     2    4885.974153103399     1.0003130947541328
Fe     1    4892.120884126167     1.0127645131323992
Fe     1    4892.858079747847     1.0151607281487771
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015411590257612
Fe     1    5664.0875559795395    0.9944141910467755
Si     1    5667.126768463639     1.0169394423900788
Sc     2    5668.721694848641     0.9738308007888836
Fe     1    5669.090793523595     0.9991088747830701
Sc     2    5670.628204538431     1.0149728221902026
Fe     1    5680.598770204794     1.0123093003859065
Na     1    5684.210135764635     1.003040351467058
Na     1    5689.783325901822     1.0135756086078485
Si     1    5692.003919652215     1.014539021231463
