#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.0008269595744645
Fe     1    4734.916110486742     1.0133971937859771
Mn     1    4740.415566878147     1.0195410462090881
Fe     1    4742.8552129917925    1.0158196344573882
Fe     1    4747.1273444713015    1.0189666831115813
Ti     1    4759.448408090701     1.0450992823736314
Ti     1    4760.600613316287     1.0416418038088286
Mn     1    4762.837505895204     1.0262671773737126
Ti     2    4765.857005824366     1.014824632973258
Fe     1    4780.775258460967     1.0190021677873116
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0323867554890607
Fe     1    4790.095328242028     1.0179271214187957
Cr     1    4790.673881566418     0.9743742832017973
Ti     2    4799.872619512944     1.0084570969857236
Cr     1    4802.366680566258     0.9754013711901334
Fe     1    4804.222172380227     1.010395275951269
Fe     1    4809.491669170637     0.9847008125840064
Zn     1    4811.881502677758     1.0256356495525512
Ti     1    4821.756520598129     1.0190704651187987
Ni     1    4832.529977081299     1.0196344550266099
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0164999715340113
Fe     1    4845.367381317484     1.0096824308267207
Cr     2    4849.590501330725     1.0186600438436342
Ti     2    4850.522548526964     0.9965104801658027
Y      2    4856.217358959939     1.006353295707333
Ti     2    4866.969511046126     1.0270706441813948
Ni     1    4867.629286068777     1.0226414820073826
Ti     2    4875.370739800553     0.9975732452606177
Fe     1    4877.238835417714     0.9975390073328481
Fe     1    4883.50749861639      1.0040425320186064
Y      2    4885.046006832402     1.0145293454613682
Cr     2    4885.974153103399     1.000888380844898
Fe     1    4892.120884126167     1.0132385286506835
Fe     1    4892.858079747847     1.0157522946096704
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015347306497657
Fe     1    5664.0875559795395    0.9944644098067726
Si     1    5667.126768463639     1.0169222842571717
Sc     2    5668.721694848641     0.9737915516676336
Fe     1    5669.090793523595     0.9991011275143826
Sc     2    5670.628204538431     1.015030051981652
Fe     1    5680.598770204794     1.0125435358775539
Na     1    5684.210135764635     1.0030646559240037
Na     1    5689.783325901822     1.0139486935499855
Si     1    5692.003919652215     1.014951716159801
Fe     1    5703.126093684245     1.0026596412883486
Mg     1    5712.67244653875      1.0179610511317567
Fe     1    5733.351777140469     1.0099043442502482
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0071303932218238
Ni     1    5756.266106436666     1.015312568493159
Si     1    5773.7487834999965    1.020876780538073
Fe     1    5776.682068284723     1.0195831952079162
Cr     1    5785.46991952334      1.0217196679710945
Cr     1    5789.524004264603     1.0158139987272838
Si     1    5794.678983613339     1.0234861119328313
Fe     1    5808.334937855258     1.0190783679278914
Fe     1    5810.828105047002     1.0198512571588652
Fe     1    5853.842217745841     1.0267226561564957
Ca     1    5859.074618420989     1.017147389049302
Fe     1    5861.214191182892     1.0166285802978632
Fe     1    5863.984932920292     1.019087835999703
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.011560409325931
Fe     1    6496.775051753972     1.008938665915447
Fe     1    6500.734015360068     1.0069708656458471
Fe     2    6517.876921161999     1.0162873349838113
Fe     1    6520.16663637006      1.0076015148602546
Fe     1    6548.046527753324     1.017631361276154
Ni     1    6588.128999672801     1.020600937769062
Fe     1    6594.73337474588      1.015274970994051
Fe     1    6595.690732061377     1.0200882450672843
Fe     1    6599.381424044337     1.0214205825339104
Sc     2    6606.425117291336     1.0208008905838684
Fe     1    6610.935029524423     1.011910592090227
Fe     1    6629.374086067407     1.0216471274156607
Ni     1    6645.484617017192     1.0184537036031631
Fe     1    6679.82895072668      1.0188663143208618
Al     1    6697.87170219246      1.0174885292970932
Al     1    6700.522414966865     1.0018078281119225
Fe     1    6705.416731065437     1.01758997195603
Cr     1    6723.703748749681     1.0179800322941537
Fe     1    6727.2123923259205    1.0
Fe     1    6735.0089891072275    1.0
Si     1    7682.383915272238     1.0035749400091938
Mg     1    7693.666959557328     1.0044047481288383
K      1    7701.083260605108     1.0048132120766935
Fe     1    7712.487037622347     1.005500936144444
Fe     2    7713.842803447365     1.0057443866937532
Ni     1    7717.714448136995     1.0061672438507554
Fe     1    7750.401268486927     0.9956699609855727
Ni     1    7751.022436112898     0.9922422667631314
Fe     1    7753.243035357763     1.008959349906996
O      1    7774.082659254023     1.0108696994554436
O      1    7776.305259075406     1.01180924347069
O      1    7777.52758895167      1.0114832873841988
Ni     1    7791.07324465637      1.010717479144225
Ni     1    7799.72557981853      1.0098536633578958
Rb     1    7802.205249061444     1.0120025754284978
Al     1    7837.464765789455     1.0095514666685652
Al     1    7838.289988531767     1.0107574015978917
Si     1    7852.143727973151     1.0148024962386257
UL     3    4723.47               1.0191793046084896
UL     3    4745.74               1.0181654834512806
UL     3    4749.47               1.022125757798078
UL     3    4765.26               1.0076152390767363
UL     3    4774.16               1.0142515431596404
UL     3    4791.0                0.9904680212118534
UL     3    4808.33               1.0228100648618366
UL     3    4814.84               0.9952417375434023
UL     3    4819.16               1.0143168995983807
UL     3    4825.5                1.011622058671703
UL     3    4830.74               0.9851857675429592
UL     3    4834.09               1.0123169559240406
UL     3    4840.91               1.0104037236013457
UL     3    4849.61               1.018659938855738
UL     3    4852.85               1.0237711105720257
UL     3    5655.46               1.0
UL     3    5677.0                1.0131195911754398
UL     3    5693.09               1.0161936295603853
UL     3    5695.25               1.014777567557191
UL     3    5707.59               1.0139239451044126
UL     3    5708.68               1.0134836030618661
UL     3    5716.69               1.0153149153513794
UL     3    5719.45               1.0151189380290155
UL     3    5753.66               1.0200283451338916
UL     3    5792.62               1.0212877514609449
UL     3    6501.47               1.0104658316112063
UL     3    6571.05               1.0131388129205154
UL     3    6576.88               1.0231848196727669
UL     3    6706.96               1.01581335943719
UL     3    6728.57               1.0
UL     3    7716.42               1.0061022528657662
UL     3    7725.34               1.0027071201437037
UL     3    7729.78               1.0065918350350125
UL     3    7744.87               1.0090335521617264
UL     3    7782.75               1.011622313197441
UL     3    7810.04               1.0113731500753365
UL     3    7834.36               1.0125289803243396
