#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.000625755166445
Fe     1    4734.916110486742     1.0144069344725162
Mn     1    4740.415566878147     1.0208507176266297
Fe     1    4742.8552129917925    1.016761770708333
Fe     1    4747.1273444713015    1.0198963707619142
Ti     1    4759.448408090701     1.0464820473388212
Ti     1    4760.600613316287     1.042825033777315
Mn     1    4762.837505895204     1.0269542588756864
Ti     2    4765.857005824366     1.0153166365961506
Fe     1    4780.775258460967     1.019260509244682
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0328187320821032
Fe     1    4790.095328242028     1.0181724543788948
Cr     1    4790.673881566418     0.9738402340079676
Ti     2    4799.872619512944     1.0085361287820844
Cr     1    4802.366680566258     0.9750219679765172
Fe     1    4804.222172380227     1.010647047499757
Fe     1    4809.491669170637     0.9844745629762456
Zn     1    4811.881502677758     1.0258970201458997
Ti     1    4821.756520598129     1.0192978798527939
Ni     1    4832.529977081299     1.0199248969790213
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0167111104721331
Fe     1    4845.367381317484     1.0097660061188078
Cr     2    4849.590501330725     1.0189351191419809
Ti     2    4850.522548526964     0.996345748621042
Y      2    4856.217358959939     1.006434768405022
Ti     2    4866.969511046126     1.0273903700351903
Ni     1    4867.629286068777     1.0229022358009665
Ti     2    4875.370739800553     0.9974852865706912
Fe     1    4877.238835417714     0.9974863174668608
Fe     1    4883.50749861639      1.0040699476584307
Y      2    4885.046006832402     1.0146646070981065
Cr     2    4885.974153103399     1.000980500355023
Fe     1    4892.120884126167     1.0132847299640404
Fe     1    4892.858079747847     1.01581857326774
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.001532911394182
Fe     1    5664.0875559795395    0.9940398503714943
Si     1    5667.126768463639     1.0176266966116172
Sc     2    5668.721694848641     0.9724068698295498
Fe     1    5669.090793523595     0.9989110359908361
Sc     2    5670.628204538431     1.0156197011563608
Fe     1    5680.598770204794     1.0129713358258137
Na     1    5684.210135764635     1.003093602522371
Na     1    5689.783325901822     1.0142796380190404
Si     1    5692.003919652215     1.015269778895486
Fe     1    5703.126093684245     1.0026477172647432
Mg     1    5712.67244653875      1.0181617289644833
Fe     1    5733.351777140469     1.009959460304788
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0071563386131535
Ni     1    5756.266106436666     1.0153959137554025
Si     1    5773.7487834999965    1.0209854086283014
Fe     1    5776.682068284723     1.0196668410483873
Cr     1    5785.46991952334      1.021806910580005
Cr     1    5789.524004264603     1.015864486304764
Si     1    5794.678983613339     1.0235666952731175
Fe     1    5808.334937855258     1.0190966831821766
Fe     1    5810.828105047002     1.019862848684252
Fe     1    5853.842217745841     1.0263233536992302
Ca     1    5859.074618420989     1.01680176221708
Fe     1    5861.214191182892     1.0163130347243539
Fe     1    5863.984932920292     1.0186430087336624
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0131137081764552
Fe     1    6496.775051753972     1.0101193948193867
Fe     1    6500.734015360068     1.0080116754570434
Fe     2    6517.876921161999     1.0182995312296597
Fe     1    6520.16663637006      1.008297207431859
Fe     1    6548.046527753324     1.0191626590013938
Ni     1    6588.128999672801     1.0219275123614215
Fe     1    6594.73337474588      1.0160058927863107
Fe     1    6595.690732061377     1.0212516007647765
Fe     1    6599.381424044337     1.02251962105815
Sc     2    6606.425117291336     1.0217194527341305
Fe     1    6610.935029524423     1.0122679037914326
Fe     1    6629.374086067407     1.02236750257295
Ni     1    6645.484617017192     1.0189854250445
Fe     1    6679.82895072668      1.0193047067216439
Al     1    6697.87170219246      1.0178627459133522
Al     1    6700.522414966865     1.001735642933207
Fe     1    6705.416731065437     1.0178751244972384
Cr     1    6723.703748749681     1.018270426571453
Fe     1    6727.2123923259205    1.0
Fe     1    6735.0089891072275    1.0
Si     1    7682.383915272238     1.0041615408253697
Mg     1    7693.666959557328     1.0050382384460332
K      1    7701.083260605108     1.00539621950739
Fe     1    7712.487037622347     1.0060512342346886
Fe     2    7713.842803447365     1.0062882802821382
Ni     1    7717.714448136995     1.0067104393099324
Fe     1    7750.401268486927     0.995420871295186
