#Elem Ion   Wave   a1(dT)         a1goodness      a2(dT^2)       a2goodness     b1(dlogg)        b1goodness       b2(dlogg^2)    b2goodness      c1(dFe_H)      c1goodness	 c2(dFe_H^2)    c2goodness       d1(mixed)           d1goodness	          off            offgoodness   EW_std
Mn    1     4740.4 -0.011853227266 0.004770823242 0.000002639456 0.000000411679 -23.173301564420 6.020293075654 2.693242585839 0.713767553117 17.478467065447 4.753009788414 -0.656592331172 0.771998165863 -275094.958984285244 27163.503733986759 31.439161137203 16.162722785210 0.916463044264
Mn    1     4762.8 -0.010190318080 0.003862847250 0.000002443172 0.000000333329 -30.734764934232 4.874517206204 3.574121465777 0.577924056508 -5.732204507015 3.848424305048 -0.931279743229 0.625072465663 -165305.663447799394 21993.787897004720 43.896258401580 13.086653417536 0.742043117457
#Na    1     4753.1 0.029684244015 0.002787057574 -0.000001600630 0.000000240498 -55.737019892236 3.516981025491 6.767920360406 0.416974207973 25.768122227845 2.776650563085 -16.823568595343 0.450991627083 -307079.535829879693 15868.589088809047 -3.666359624553 9.442062363206 0.535386498882
Na    1     5684.2 0.104819672283 0.004918511411 -0.000006925203 0.000000424591 -77.701503197252 6.169035091297 9.073336434917 0.731161614358 -20.292856487318 4.942203748819 -23.154142366125 0.790475385900 -191052.132586921798 28245.478044885178 -207.493823778572 16.582577323501 0.928345285932
Na    1     5689.7 0.079055645005 0.007048633012 -0.000004955798 0.000000608281 -62.564898671801 8.858717354179 7.064534509076 1.050260602280 -33.213875806602 7.019049087797 -24.856047879884 1.136504764320 -83734.187909565357 40113.993886112410 -152.412240222210 23.802418918152 1.347413849595
Ni    1     4832.5 -0.087812690834 0.002455649360 0.000008802076 0.000000211895 -27.034259478889 3.098600487999 3.304035347381 0.367370474471 -31.255652006286 2.443169688549 -4.768395262118 0.397335744711 -23.160368573556 13962.938473185461 268.373989355883 8.317677466959 0.471695396367
Ni    1     4867.6 -0.075366906039 0.003016300906 0.000007206924 0.000000260280 -7.467514391401 3.806260729707 0.851780741972 0.451271255969 -24.083329436208 3.005036921469 -2.647769539086 0.488086794745 27993.345797189057 17173.820383715301 212.085398395864 10.218681004595 0.579423109286
#Ni    1     5696.5 -0.030287064281 0.002714035063 0.000003935804 0.000000234197 -65.638331184955 3.424836536264 7.978407138224 0.406049534119 17.958859228432 2.703901394745 -10.081107806457 0.439175744160 -291412.580872189021 15452.826660264758 179.137984843806 9.194676398495 0.521359391702
#Ni    1     5749.9 0.044762380256 0.004781708288 -0.000002488683 0.000000412618 -55.923857353527 6.034026469443 7.086072914584 0.715395789731 24.514120142085 4.763855308172 -12.364658767426 0.773759513168 -290230.345109674614 27225.486522359926 -65.461727872304 16.199588064580 0.918554163037
Ni    1     5756.2 -0.048562756154 0.004770671772 0.000006569931 0.000000411704 -57.221793826583 6.005069880876 7.168520067446 0.711942290370 -21.062017363775 4.757235430491 -7.932718108377 0.770260704688 -89301.047033401584 27188.829470243076 173.826381040566 16.169586766548 0.913117974213
